geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
che,Switzerland,1417.65,1419.7,1416.89,1431.84,1502.02,1609.4,1571.64,1583.64,1557.54,1527.44,1570.51,1552.44,1559.22,1560.14,1531.7,1484.2,1462.91,1459.79,1508.35,1534.42,1572.99,1543.19,1568,1565.25,1580.05,1610.01,1628.72,1585.41,1617.6,1565.29,1515.73,1487.09
chl,Chile,972.81,982.16,978.89,995.06,1029.7,1082.82,1100.13,1081.52,1126.76,1140.3,1163.68,1181.58,1196.23,1221.92,1253.88,1299.02,1307.22,1320.82,1370.48,1487.05,1502.71,1540.87,1565.55,1589.77,1616.32,1676.18,1680.02,1697.92,1729.2,1773.91,1697.75,1755.63
chn,China,40356.91,41566.89,42865.6,44204.76,45759.36,47041.65,48389.42,49566.53,51070.66,52870.15,54300.89,55557.81,56521.71,57870.19,59467.93,60805.65,61535.46,62783.17,63863.35,64837.59,66704.99,67948.67,67889.63,68050.18,68645.87,70069.24,72451.35,75678.94,78859.01,82532.72,86009.71,88106.72
civ,Cote d'Ivoire,352.24,366.72,378.93,403.67,425.08,446.85,468.27,490.7,520.87,556.58,591.04,621.5,643.48,668.4,689.57,721.83,748.92,768.91,786.4,810.72,836.77,865.16,922.17,1002.01,1059.7,1092.43,1133.83,1178.42,1212.79,1234.19,1285.97,1332.07
cmr,Cameroon,358.91,374.03,390.74,407.28,423.55,438.79,453.9,472.82,490.11,507.71,528.52,543.99,562.47,577.1,593.22,615.96,643.45,673.87,706.49,747.17,785.99,825.1,865.5,909.94,961.22,996.76,1045.65,1091.58,1143.82,1199.44,1252.17,1303.04
cod,"Congo, Dem. Rep.",1208.74,1256.28,1284.43,1300.73,1311.87,1353.74,1410.91,1385.37,1423,1462.04,1508.78,1549.03,1583.44,1643.99,1685.17,1735.85,1807.78,1874.9,1960.48,2047.16,2155.54,2273.56,2405.24,2551.16,2722.91,2878.24,3040.36,3200.45,3372.74,3552.44,3738.87,3898.02
cog,"Congo, Rep.",133.61,136.99,141.02,146.51,160.54,165.91,173.71,182.65,179.29,186.66,189.82,186.26,190.01,201.11,209.57,220.54,230.09,242.14,251.71,261.1,273.83,284.35,299.89,318.39,338.86,353.63,368.03,386.32,405.99,427.59,445.73,460.14
col,Colombia,1417.03,1482.56,1537.04,1619.7,1657.19,1643.21,1663.22,1668.22,1693.43,1769.16,1849.34,1945.97,2025.32,2182.4,2203.93,2183.96,2263.59,2366.48,2436.21,2611.32,2757.38,2745.15,2876.63,2966.52,3132.4,3263.66,3518.92,3610.04,3857.91,3999.05,4118.33,4205.13
com,Comoros,17.93,18.94,19.97,21.02,22.25,23.18,24.34,25.32,26.17,26.9,28.24,29.23,30.25,31.21,30.39,32.61,32.19,35.37,37.23,36.61,37.42,39.5,41.03,42.81,48.14,50.01,52.18,54.02,54.85,57.66,60.71,62.61
cpv,Cape Verde,17.47,17.95,18.19,18.36,18.38,18.22,17.97,17.69,17.63,17.85,18.29,18.88,19.55,20.19,20.84,21.5,22.2,22.97,23.91,24.94,26.06,27.26,28,29.25,30.73,31.96,33.63,34.3,35.25,36.14,36.99,37.52
cri,Costa Rica,118.15,121.08,124.6,132.89,145.8,158.09,160.5,164.6,177.96,183.88,184.73,199.71,203.85,233.39,242.88,230.47,279.7,258.34,276.04,269.08,322.83,325.85,345.58,373.12,373.72,382.44,405.23,434.26,445.05,452.35,448.76,488.92
cub,Cuba,991.95,1027.6,1072.23,1093.34,1112.05,1119.4,1159.68,1119.49,1126.36,1162.44,1168.57,1238.17,1229.06,1290.04,1324.79,1361.02,1350.57,1444.89,1526.8,1564.34,1609.74,1567.23,1656.34,1658.95,1693.6,1744.29,1713.61,1719.9,1768.87,1826.56,1817.79,1821.22
cyp,Cyprus,99.66,102.61,106.66,109.88,111.68,114.36,116.18,120.55,124.28,126.69,131.39,134.96,140.7,146.61,149.48,154.23,158.59,161.78,167.68,172.27,182.75,190.64,194.51,197.78,195.6,198.7,198.89,204.33,209.78,216.6,207.53,209.64
cze,Czech Republic,1941.17,2000.25,2002.03,2021.71,2060.14,2119.86,1981.35,2023.45,1990.87,2014.48,2054.28,2076.84,2097.09,2175.43,2104.84,2143.68,2097.51,2052.7,2058.18,1992.46,1983.69,1951.71,1904.31,1886.53,1830.08,1854.02,1920.63,1875.35,1887.29,1973.96,1946.58,1956.1
deu,Germany,20614.17,20927.37,21072.53,21369.77,21294.93,21311.14,21310.99,20942.49,20544.34,20099.9,19964.67,19850.54,20015.38,19858.16,19736.02,19595.05,19542.99,19733.05,20268.82,20312.78,20156.25,20056.72,20169.37,20450.17,19924.98,20546.98,20861.05,21100.92,21468.62,21342.53,20995.28,20659.54
dji,Djibouti,13.78,14.46,15.4,16.96,16.95,18.69,19.62,20.14,21.96,23.25,24.6,25.96,27.36,28.1,30.65,32.09,33.41,35.59,37.48,39.07,41.76,44.29,46.7,49.15,50.92,54.2,57.35,61.28,63.84,68.07,71.4,75.38
dma,Dominica,9.46,9.6,9.67,9.52,9.51,9.52,9.6,9.81,9.99,10.2,10.37,10.57,10.71,10.18,10.32,10.5,10.77,10.99,11.18,11.45,11.75,12.01,12.24,12.44,12.64,12.84,13.05,13.21,13.31,13.41,13.48,13.49
dnk,Denmark,1725.78,1768.98,1826.79,1766.17,1630.47,1633.83,1619.89,1615.53,1574.01,1598.86,1574.03,1580.85,1602.88,1537.38,1496.55,1489.16,1470.25,1475.8,1473.46,1499.21,1475.23,1431.58,1381.97,1363.44,1358.22,1355.89,1379.35,1355.91,1350.26,1322.49,1313.64,1315.38
dom,Dominican Republic,236.62,247.04,259.17,276.31,283.87,296.9,313.89,329.36,343.8,354.78,368.78,385.6,415.09,453.74,486.6,508.84,538.66,557.11,568.56,578.45,589.79,600.73,623.41,647.73,660.39,668.93,685.8,709.31,722.63,726.35,721.41,735.73
dza,Algeria,428.54,445.33,461.84,479.95,496.93,519.26,530.01,542.36,553.59,578.27,601.5,628.82,663.21,701.8,739.92,783.65,822.15,857.27,895.22,935.55,967.71,1004.56,1039.18,1079.79,1118.93,1158.39,1197.47,1244.63,1302.66,1356.43,1401.24,1447.41
ecu,Ecuador,266.26,286.21,289.5,290,309.36,336.28,383.01,380.44,394.46,421.67,446.11,495.8,511.42,561.75,574.44,616.02,670.01,662.72,696.51,731.6,750.37,716.02,816.04,839.7,849.24,855.77,916.44,965.03,1046.58,1106.95,1071.81,1102.68
egy,Egypt,1379.07,1427.19,1472.93,1567.66,1645.16,1690.61,1804.33,1908.04,1983.76,2055.32,2104.03,2301.72,2586.41,2915.21,3209.04,3493.62,3734.54,3847.34,3977.99,4080.18,4154.74,4152.09,4391.61,4454.94,4751.42,5029.01,5130.78,5125.22,5339.29,5508.8,5709.52,5922.19
eri,Eritrea,127.41,127.23,120.12,119.47,126.14,134.6,143.68,151.61,158.56,166.35,174.79,180.11,190.3,200.66,214.46,224.32,232.56,240.63,250.43,261.11,271.12,281.02,291.98,303.09,314.01,325.12,336.98,349.67,364.97,379.9,396.65,412.92
esp,Spain,6708.4,6757.21,6861.29,7000.14,7046.59,7080.64,6987.49,6903.9,6894.48,6873.99,6879.14,6964.89,6968.22,7079.1,7025.04,6980.57,7094.72,7154.77,7239.01,7277.44,7330.63,7371.45,7350.15,7403.39,7295.92,7368.81,7415.89,7486.02,7484.36,7392.94,7186.01,7113.45
est,Estonia,252.57,268.37,249.33,252.1,257.4,247.54,242.65,244,257.16,252.17,257,263.57,251.88,248.23,239.12,237.93,236.75,237.23,233.04,229.13,220.57,235.64,235.55,226.16,230.12,237.33,256.18,246.95,242.16,247.57,246.08,246.65
eth,Ethiopia,1795.13,1830.75,1875.06,1915.64,1969.4,2019.33,2061.59,2094.82,2128,2160.35,2179.13,2204.91,2205.35,2218.96,2248.37,2297.4,2346.21,2404.88,2474.23,2552.07,2664.72,2755.81,2864.25,2998.6,3140.42,3254.3,3421.68,3633.96,3843.71,4064.38,4271.6,4469.96
fin,Finland,903.12,903.83,940.44,938.85,924.34,953.53,928.26,935.87,934.73,957.03,966.76,965.67,963.37,957.63,970.55,966.27,960.9,962.84,963.01,973.14,1004.6,1011.15,1023.66,1032.16,1024.47,1020.42,1035.01,1065.99,1049.1,1042.48,1041.08,1032.99
fji,Fiji,66.25,68.06,69.68,71.44,73.01,74.88,77.01,78.36,78.34,81.32,83.5,81.91,83.85,88.05,89.23,93.93,99.06,105.04,111.05,115,118.76,123.31,126.79,130.19,133.54,137.14,140.86,144.63,147.95,150.65,153.31,155.08
fra,France,12845.63,12950.51,13140.1,13348.17,13443.77,13565.43,13656.63,13519.48,13591.59,13936.75,14143.96,14309.21,14571.4,14601,14446.16,14415.95,14498.68,14449.88,14662.36,14762.44,14758.01,14578.82,14664.41,14744.38,14879.27,15310.86,15621.41,15624.02,15511.13,15527.03,15423.85,15090.51
fsm,"Micronesia, Fed. Sts.",6.7,6.91,7.13,7.35,7.57,7.76,7.95,8.12,8.26,8.41,8.55,8.69,8.82,8.98,9.16,9.39,9.62,9.92,10.22,10.51,10.83,11.08,11.31,11.52,11.74,11.95,12.16,12.39,12.63,12.9,13.12,13.31
gab,Gabon,63.62,65.72,67.06,67.67,70.98,74.18,76.86,78.98,81.22,82.78,85.47,88.51,89.88,93.11,94.74,94.88,97.27,99.2,101.81,103.18,103.84,106.79,109.33,111.59,116.43,122.01,127.25,133.03,138.73,145.25,149.81,152.76
gbr,UK,17543.72,17597,17552.21,17418.58,17173.9,16966.82,16711.57,16444.18,16324.48,16187.21,15992.8,15759.26,15648.96,15394.74,14990.22,14775.9,14659.75,14441.27,14350.22,13962.69,13823.47,14027.52,14083.19,14019.2,14029.36,14196.01,14332.31,14241.06,14469.36,14333.38,13783.52,13825.19
geo,Georgia,959.69,919.72,897.9,854.13,831,851.88,915.14,926.39,915.73,913.09,892.26,871.43,865.66,877.26,815.66,751.43,725.56,724.72,840.39,862.28,853.75,905.7,918.72,913.23,916.32,990.72,1073.54,1015.22,984.95,950.18,955.39,940.31
