geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
cri,Costa Rica,434.59,451.12,470.94,512.81,562.6,609.52,618.8,641.86,702.36,737.56,747.52,821.63,860.83,987.71,1023.58,975.44,1199.26,1109.88,1185.46,1171.18,1433.01,1446.5,1548.26,1698.8,1700.08,1751.64,1874.15,2025.51,2084.04,2126.54,2180.55,2392.89
cub,Cuba,2689.63,2828.78,2956.8,3041.47,3140.49,3219.22,3379.89,3333.34,3326.95,3426.13,3463.42,3676.79,3676.8,3949.38,4073.02,4274.88,4320.53,4564.13,4785.21,4897.07,4998.18,4885.14,5164.53,5183.76,5270.59,5438.16,5359.6,5381.71,5595.67,5844.38,5797.97,5830.98
cyp,Cyprus,259.03,271.87,289.39,306.07,321.11,336.67,349.21,368.39,387.25,404.28,425.76,445.28,473.24,510.98,554.77,611.6,663.64,702.98,740.26,765.62,802.49,835.43,856.32,877.43,879.45,895.36,892.65,916.99,946.11,979,936.81,947.71
cze,Czech Republic,4211,4448.34,4543.61,4735.3,5062.83,5437.42,5212.89,5441.98,5412.15,5515.88,5650.48,5780.85,5790.5,6134.87,6004.26,6307.23,6267.04,6244.71,6309.07,6097.2,6074.77,5979.44,5831.61,5759.3,5539.68,5628.89,5857.17,5722.1,5793.27,6040.09,5764.77,5871.44
deu,Germany,49486.28,51214.36,52109.26,54083.5,55988.73,59443.09,62484.5,63001.8,62716.92,62017.85,62466.24,63275.4,64485.43,65141.22,66305.07,67779.22,69421.53,71672.46,74842.11,75417.82,74770.22,74562.27,74741.73,75346.08,73270.8,74626.62,75885.22,76000.2,76841.33,75924.38,73692.55,72412.85
dji,Djibouti,19.94,20.96,22.44,24.9,24.63,27.17,28.35,28.94,31.72,33.7,35.81,38,40.26,41.41,45.64,48,50.23,54.04,57.38,60.14,64.92,69.45,73.77,78.11,81.22,87.28,93.17,100.54,105.26,113.46,120.21,128.57
dma,Dominica,17.01,17.47,17.77,17.73,17.84,17.91,18.06,18.44,18.86,19.42,19.94,20.57,21.04,20.45,20.64,20.75,21.09,21.47,21.99,22.76,23.65,24.32,24.76,25.09,25.46,25.94,26.49,26.83,27.04,27.34,27.67,27.91
dnk,Denmark,3729.06,3841.65,4011.6,3941.02,3724.83,3832.09,3892.3,3962.36,3897.69,4008.04,4000.49,4087.71,4188.36,4115.93,4163.3,4284.42,4391.48,4566.53,4694.9,4866.83,4786.38,4604.09,4502.9,4434.42,4417.54,4270.21,4259.47,4120.54,4064.03,3941.19,3896.69,3831.47
dom,Dominican Republic,444.77,467.29,493.45,531.48,554.82,595.9,647.16,693.34,733.26,764.14,798.82,843.67,909.36,986.66,1049.59,1099.66,1160.19,1205.61,1244.9,1286.24,1328.65,1350.88,1386.86,1419.71,1444.2,1465.98,1528.82,1588.7,1633.84,1663.88,1640.75,1682.09
dza,Algeria,996.46,1064.31,1129.79,1199.96,1270.56,1351.55,1407.04,1471.97,1538.07,1647.56,1759.42,1883.35,2034.75,2191.35,2357.73,2530.75,2685.4,2834.16,2998.9,3169.03,3296.5,3474.05,3649.38,3845.8,4040.07,4237.32,4453.72,4742,5044.37,5342.62,5600.75,5878.51
ecu,Ecuador,467.34,503.75,514.48,530.34,576.13,644.7,768.02,781.41,835.94,896.25,957.04,1074.86,1125.55,1252.02,1282.3,1373.35,1460.42,1441.83,1535.94,1626.45,1678.69,1605.46,1843.76,1942.76,1993.04,2039.12,2209.11,2345.49,2546.83,2725.9,2652.19,2755.76
egy,Egypt,2973.16,3150.78,3335.12,3640.59,3908.58,4092.03,4452.96,4800.96,5076.78,5355.18,5573.08,6202.93,7040.86,7986.53,8830.04,9588.46,10254.88,10626.52,11141.19,11646.14,12044.66,12172.43,12945.55,13093.86,13999.91,15023.39,15675.52,16054.55,17213.57,18243.3,19349.83,20524.18
eri,Eritrea,170.65,170.61,161.12,160.58,170.18,182.21,195.16,206.84,217.36,229.31,242.39,250.66,266.55,282.16,302.69,316.89,328.73,340.5,354.89,371.09,386.8,402.32,419.65,436.85,454.48,472.34,492.26,513.88,540.64,566.72,595.55,624.65
esp,Spain,17494.52,17919.32,18461.49,19259.9,19983.85,20847.65,21192.71,21573.47,21924.68,22093.65,22299.06,22837.04,23116.02,23764.16,24178.45,24990.39,26095.09,26807.8,27259.72,27223.11,27368.39,27687.81,27586.92,27907.1,27314.54,27500.58,27616.84,27834.24,27859.37,27613.83,25900.04,26364.42
est,Estonia,584.29,634.45,604.16,627.74,639.88,606.21,584.85,591.25,622.88,609.14,632.54,654.48,628.99,627.14,619.9,639.91,657.06,674.46,678.37,671.68,649.62,706.41,711.09,692.8,696.77,713.9,770.64,733.53,720.31,741.48,740.31,730.6
eth,Ethiopia,2294.75,2349.63,2411.65,2475.63,2556.51,2647.58,2726.98,2792,2849.06,2900.44,2935.42,2978.73,2988.13,3014.15,3077.7,3183.35,3294.53,3416.97,3545.36,3689.06,3885.33,4050.12,4244.92,4469.77,4727.1,4947.06,5258.47,5655.52,6044.78,6464.64,6888.04,7308.7
fin,Finland,2691.45,2708.52,2835.98,2886.81,2948.15,3203.62,3260.77,3400.81,3459.21,3552.66,3631.5,3655.45,3690.86,3723.84,3907.85,4054.01,4138.81,4229.41,4269.58,4354.94,4519.39,4510.82,4585.26,4591.19,4522.66,4430.12,4479.14,4574.9,4433.64,4382.04,4327.93,4263.44
