geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
chn,China,17.84,18.14,18.51,18.96,19.5,19.96,20.42,20.76,21.25,21.82,22.28,22.65,22.96,23.57,24.49,25.6,26.48,27.32,27.86,28.27,29.04,29.57,29.53,29.77,30.22,30.38,30.9,32.39,33.83,35.23,36.35,37
civ,Cote d'Ivoire,22.08,22.12,22.04,22.51,22.66,22.74,22.78,22.92,23.45,24.2,24.94,25.49,25.77,26.11,26.4,27.09,27.65,27.82,27.9,28.1,28.32,28.52,29.51,31.1,31.91,32.02,32.41,32.95,33.1,32.89,33.46,33.91
cmr,Cameroon,19.22,19.61,20.03,20.31,20.44,20.4,20.33,20.47,20.53,20.6,20.81,20.77,20.87,20.76,20.71,20.86,21.16,21.52,21.91,22.48,22.95,23.34,23.71,24.07,24.59,24.73,25.2,25.57,26,26.46,26.83,27.24
cod,"Congo, Dem. Rep.",16.67,16.81,16.73,16.51,16.26,16.42,16.72,16.05,16.04,16.02,16.09,16.05,15.98,16.18,16.22,16.38,16.7,16.98,17.38,17.76,18.31,18.87,19.5,20.19,21.05,21.77,22.45,23.04,23.68,24.34,25.03,25.54
cog,"Congo, Rep.",27.36,27.48,27.7,28.18,30.14,30.51,31.18,32.03,30.86,31.4,31.31,30.07,29.95,30.92,31.53,32.55,33.3,34.19,34.67,35.02,35.83,36.26,37.21,38.42,39.84,40.46,40.86,41.61,42.41,43.35,43.97,44.23
col,Colombia,36.45,36.77,37.08,38.35,38.97,38.86,39.64,39.59,39.61,40.49,41.15,41.61,41.79,43.75,42.8,41.03,41.67,42.7,43.5,46.2,48.52,47.94,49.55,50.05,51.98,53.41,57.22,58.14,61.43,62.67,64.1,64.69
com,Comoros,21.16,21.81,22.38,22.9,23.49,23.7,24.05,24.29,24.47,24.59,25.27,25.57,25.88,26.12,25.01,26.33,25.57,27.46,28.25,27.16,27.1,27.74,27.82,27.93,30.35,30.65,31.22,31.56,31.3,32.2,33.26,33.65
cpv,Cape Verde,21.46,21.69,21.57,21.29,20.73,19.87,18.9,18.07,17.62,17.59,17.83,18.24,18.73,19.18,19.57,19.9,20.15,20.58,21.22,21.96,22.79,23.46,24.02,24.81,25.67,26.3,26.8,26.72,26.82,27.03,27.49,27.63
cri,Costa Rica,43.95,43.78,43.75,45.5,47.94,49.82,48.5,48.2,50.65,51.02,49.76,52.67,53,58.65,58.63,54.13,64.15,57.43,59.43,56.74,67.18,65.69,68.2,72.42,70.4,70.57,73.32,77.02,77.01,76.31,76.31,81.62
cub,Cuba,51.66,53.04,54.13,54.56,55.13,55.18,56.6,54.56,53.27,53.64,53,54.99,53.79,56.44,57.01,58.52,57.94,59.95,61.46,61.64,61.78,59.32,61.49,60.69,60.78,61.87,59.98,59.01,60.55,62.52,61.2,61.04
cyp,Cyprus,61.75,63.54,66.32,68.67,70.07,71.57,72.17,74.5,76.35,77.14,78.99,80.48,83.37,87.27,91.52,97.48,102.5,105.33,107.39,107.56,109.03,110.05,109.46,108.87,106.16,104.82,101.31,100.88,100.88,101.2,94.52,92.61
cze,Czech Republic,57.07,60.07,61.01,63.09,66.88,71.19,67.52,70.03,68.98,69.37,70.21,71.49,70.62,74.34,71.83,74.83,73.48,72.41,72.13,68.88,67.79,65.91,63.47,62.29,58.99,59.57,61.95,59.92,60.3,62.39,58.46,59.28
deu,Germany,74.85,77.11,78.21,80.92,83.12,88.33,92.64,92.56,91.4,89.58,89.67,90.22,91.02,91.04,91.49,92.72,94.04,96.03,99.27,99.19,97.84,97.16,96.3,95.92,92.34,92.68,93.81,92.91,93.26,91.4,87.91,85.99
dji,Djibouti,23.23,23.06,23.38,24.56,23.8,24.69,24.74,24.38,25.2,25.49,25.78,26.08,26.39,26.16,27.16,27.29,27.38,27.93,28.24,28.3,28.9,29.32,29.6,29.86,29.81,30.38,30.94,31.72,31.86,32.68,33.05,33.74
dma,Dominica,51.02,52.07,52.59,52.33,52.47,52.5,52.8,53.56,54.4,55.62,56.69,58.05,58.95,57.08,57.09,56.8,57.19,57.67,58.49,59.94,61.75,62.98,63.55,63.87,64.25,64.94,65.74,66.02,65.98,66.07,66.23,66.32
